CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
01;SR6ACZ;OFF;438,950000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,95;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
02;SR6B;OFF;145,762500;DUP-;0,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
03;SR6DST;OFF;145,687500;DUP-;0,600000;FM;OFF;2;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6875;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
04;SR6G;OFF;145,625000;DUP-;0,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
05;SR6J;OFF;145,675000;DUP-;0,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,675;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
06;SR6JG;OFF;438,675000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,675;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
07;SR6LWS;OFF;439,287500;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,2875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
08;SR6LZM;OFF;438,600000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,6;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
09;SR6MA;OFF;438,725000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,725;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
10;SR6NR;OFF;439,425000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,425;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
11;SR6OA;OFF;438,875000;DUP-;7,600000;FM;OFF;2;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
12;SR6OO;OFF;439,250000;DUP-;7,600000;FM;OFF;2;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,25;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
13;SR6OP;OFF;439,325000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,325;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
14;SR6PS;OFF;438,800000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,8;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
15;SR6R;OFF;145,600000;DUP-;0,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
16;SR6S;OFF;145,787500;DUP-;0,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7875;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
17;SR6TT;OFF;439,225000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,225;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
18;SR6UKB;OFF;439,262500;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,2625;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
19;SR6UPK;OFF;438,537500;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,5375;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
20;SR6UVO;OFF;439,387500;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,3875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
21;SR6UVX;OFF;439,412500;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,4125;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
22;SR6W;OFF;145,662500;DUP-;0,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
23;SR6WB;OFF;439,362500;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,3625;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
24;SR6WR;OFF;438,850000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,85;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
25;SR6WS;OFF;438,925000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,925;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
26;SR6WY;OFF;439,075000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,075;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
27;SR6Z;OFF;145,637500;DUP-;0,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6375;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
28;SR7E;OFF;145,762500;DUP-;0,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
29;SR7KI;OFF;438,725000;DUP-;7,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,725;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
30;SR7KP;OFF;439,425000;DUP-;7,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,425;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
31;SR7KU;OFF;438,925000;DUP-;7,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,925;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
32;SR7L;OFF;145,675000;DUP-;0,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,675;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
33;SR7LD;OFF;439,075000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,075;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
34;SR7LDZ;OFF;438,350000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,35;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
35;SR7OS;OFF;439,475000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,475;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
36;SR7PA;OFF;439,400000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,4;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
37;SR7SC;OFF;439,325000;DUP-;7,600000;FM;OFF;2;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,325;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
38;SR7SI;OFF;438,825000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,825;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
39;SR7ST;OFF;439,150000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,15;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
40;SR7V;OFF;145,625000;DUP-;0,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
41;SR7WI;OFF;439,000000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
42;SR7Z;OFF;145,600000;DUP-;0,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
43;SR7ZD;OFF;438,900000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,9;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
44;SR8AGA;OFF;439,350000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,35;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
45;SR8AR;OFF;29,690000;DUP-;0,100000;FM;OFF;2;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;29,69;OFF;,1;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
46;SR8B;OFF;145,787500;DUP-;0,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7875;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
47;SR8BB;OFF;438,875000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
48;SR8CH;OFF;438,675000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,675;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
49;SR8DE;OFF;439,300000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,3;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
50;SR8DEF;OFF;438,425000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,425;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
51;SR8ET;OFF;439,200000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,2;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
52;SR8K;OFF;145,600000;DUP-;0,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
53;SR8KN;OFF;438,925000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,925;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
54;SR8KP;OFF;439,575000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,575;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
55;SR8L;OFF;145,675000;DUP-;0,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,675;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
56;SR8LBD;OFF;438,575000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,575;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
57;SR8LBL;OFF;29,670000;DUP-;0,100000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;29,67;OFF;,1;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
58;SR8LKR;OFF;438,550000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,55;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
59;SR8LSW;OFF;439,025000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,025;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
60;SR8LU;OFF;439,050000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,05;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
61;SR8PL;OFF;439,087500;DUP-;7,600000;FM;OFF;2;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,0875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
62;SR8PPN;OFF;438,900000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,9;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
63;SR8PU;OFF;438,850000;DUP-;7,600000;FM;OFF;2;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,85;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
64;SR8RZ;OFF;439,250000;DUP-;7,600000;FM;OFF;2;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,25;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
65;SR8S;OFF;145,712500;DUP-;0,600000;FM;OFF;2;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7125;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
66;SR8SD;OFF;439,325000;DUP-;7,600000;FM;OFF;2;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,325;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
67;SR8SM;OFF;438,650000;DUP-;7,600000;FM;OFF;2;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,65;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
68;SR8WD;OFF;438,975000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,975;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
69;SR8X;OFF;145,700000;DUP-;0,600000;FM;OFF;2;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
70;SR8Z;OFF;145,750000;DUP-;0,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,75;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
71;SR8ZA;OFF;439,275000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,275;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
